Date,pm2.5
2014/4/3,96
2014/4/4,180
2014/4/5,132
2014/4/6,26
2014/4/7,14
2014/4/8,15
2014/4/9,12
2014/4/10,6
2014/4/11,10
2014/4/12,21
2014/4/13,50
2014/4/14,159
2014/4/15,129
2014/4/16,125
2014/4/17,66
2014/4/18,55
2014/4/19,12
2014/4/20,13
2014/4/21,89
2014/4/22,31
2014/4/23,112
2014/4/24,133
2014/4/25,110
2014/4/26,92
2014/4/27,148
2014/4/28,180
2014/4/29,123
2014/4/30,101
2014/5/1,82
2014/5/2,5
2014/5/3,31
2014/5/4,8
2014/5/5,48
2014/5/6,72
2014/5/7,72
2014/5/8,37
2014/5/9,6
2014/5/10,19
2014/5/11,38
2014/5/12,28
2014/5/13,26
2014/5/14,48
2014/5/15,37
2014/5/16,59
2014/5/17,78
2014/5/18,81
2014/5/19,138
2014/5/20,42
2014/5/21,116
2014/5/22,4
2014/5/23,7
2014/5/24,13
2014/5/25,38
2014/5/26,66
2014/5/27,49
2014/5/28,196
2014/5/29,58
2014/5/30,144
2014/5/31,39
2014/6/1,8
2014/6/2,31
2014/6/3,109
2014/6/4,138
2014/6/5,176
2014/6/6,3
2014/6/7,31
2014/6/8,74
2014/6/9,93
2014/6/10,68
2014/6/11,50
2014/6/12,11
2014/6/13,4
2014/6/14,22
2014/6/15,44
2014/6/16,67
2014/6/17,118
2014/6/18,115
2014/6/19,67
2014/6/20,127
2014/6/21,36
2014/6/22,14
2014/6/23,148
2014/6/24,123
2014/6/25,10
2014/6/26,98
2014/6/27,17
2014/6/28,22
2014/6/29,91
2014/6/30,64
2014/7/1,84
2014/7/2,78
2014/7/3,8
2014/7/4,18
2014/7/5,104
2014/7/6,272
2014/7/7,343
2014/7/8,328
2014/7/9,246
2014/7/10,3
2014/7/11,9
2014/7/12,31
2014/7/13,13
2014/7/14,17
2014/7/15,87
2014/7/16,155
2014/7/17,292
2014/7/18,268
2014/7/19,38
2014/7/20,104
2014/7/21,145
2014/7/22,253
2014/7/23,331
2014/7/24,9
2014/7/25,35
2014/7/26,90
2014/7/27,105
2014/7/28,163
2014/7/29,144
2014/7/30,12
2014/7/31,6
2014/8/1,11
2014/8/2,118
2014/8/3,8
2014/8/4,7
2014/8/5,60
2014/8/6,74
2014/8/7,33
2014/8/8,38
2014/8/9,14
2014/8/10,5
2014/8/11,16
2014/8/12,21
2014/8/13,128
2014/8/14,22
2014/8/15,14
2014/8/16,52
2014/8/17,346
2014/8/18,314
2014/8/19,93
2014/8/20,31
2014/8/21,111
2014/8/22,19
2014/8/23,157
2014/8/24,241
2014/8/25,13
2014/8/26,77
2014/8/27,301
2014/8/28,23
2014/8/29,14
2014/8/30,52
2014/8/31,11
2014/9/1,9
2014/9/2,13
2014/9/3,16
2014/9/4,54
2014/9/5,40
2014/9/6,339
2014/9/7,63
2014/9/8,14
2014/9/9,17
2014/9/10,58
2014/9/11,53
2014/9/12,10
2014/9/13,9
2014/9/14,152
2014/9/15,132
2014/9/16,17
2014/9/17,21
2014/9/18,80
2014/9/19,95
2014/9/20,12
2014/9/21,16
2014/9/22,131
2014/9/23,194
2014/9/24,69
2014/9/25,56
2014/9/26,49
2014/9/27,17
